State Name/Location,pricing,Emi,Project Name,Location,Config,Possession Status
thrissur_kerala,42.25 L - 52.92 L,EMI starts at 33 K,Confident Elite,"Kuriachira, Thrissur","2, 3 BHK Apartments",Ready to Move
thrissur_kerala,37.97 L - 46.79 L,EMI starts at 29.1 K,Confident Vega III,"Paravattani, Thrissur","2, 3 BHK Apartments",Ready to Move
thrissur_kerala,1.2 Cr - 1.79 Cr,EMI starts at 1.04 Lacs,Confident Aries,"Kuriachira, Thrissur","3, 4 BHK Villas",Ready to Move
thrissur_kerala,7.78 Cr,EMI starts at 4.54 Lacs,Confident NRI Enclave,"Pottore, Thrissur",4 BHK Apartment,Ready to Move
thrissur_kerala,1.8 Cr - 2.91 Cr,EMI starts at 1.7 Lacs,Elite Gardenia Hills,"Puzhakkal, Thrissur","3, 4 BHK Villas",Ready to Move
thrissur_kerala,1.47 Cr - 1.94 Cr,EMI starts at 1.13 Lacs,Forms Builders The Grande,"Paravattani, Thrissur",4 BHK Villa,Ready to Move
thrissur_kerala,29.83 L - 44.85 L,EMI starts at 27.9 K,Gokulam Akila And Akula,"Choolissery, Thrissur","2, 3 BHK Apartments",Ready to Move
thrissur_kerala,23.24 L - 36.04 L,EMI starts at 22.4 K,Inland Mist,"Peringavu, Thrissur","2, 3 BHK Apartments",Ready to Move
thrissur_kerala,55 L - 65 L,EMI starts at 40.5 K,Penta East Park,"Nellikunnu, Thrissur","2, 3.5 BHK Apartments",Ready to Move
thrissur_kerala,38 L,EMI starts at 23.6 K,MRG Sri Laxmi,"Kuttoor, Thrissur",3 BHK Apartment,Ready to Move
thrissur_kerala,14.99 L - 17.88 L,EMI starts at 11.1 K,RM Ushas Apartments,"Mannuthy, Thrissur","1, 2 BHK Apartments",Ready to Move
thrissur_kerala,12.97 L - 22.65 L,EMI starts at 14.1 K,Hi Life Royal Crest,"Laloor, Thrissur","1, 2 BHK Apartments",Ready to Move
thrissur_kerala,23.18 L,EMI starts at 14.4 K,Hi Life Ivory Crest,"Nedupurha, Thrissur",2 BHK Apartment,Ready to Move
thrissur_kerala,33.66 L - 39.24 L,EMI starts at 24.4 K,Confident Orion,"Ollur, Thrissur","2, 3 BHK Apartments",Ready to Move
thrissur_kerala,45.28 L - 46.33 L,EMI starts at 28.8 K,Salim Nandanam Paradise Villas,"Kolazhy, Thrissur",3 BHK Villa,Ready to Move
thrissur_kerala,17.34 L - 41.24 L,EMI starts at 25.7 K,TBPL Rhine,"Viyyoor, Thrissur","1, 2, 3 BHK Apartments",Ready to Move
thrissur_kerala,39.78 L,EMI starts at 24.8 K,Unidesign Chandra,"Koorkenchery, Thrissur",3 BHK Apartment,Ready to Move
